날짜,PM10,PM2.5,오존,이산화질소,일산화탄소,아황산가스,평균기온,강수량,풍속,풍향,상대습도
2018-11-01,27,21,0.017,0.038,0.2,0.007,11.5,,2.7,340,51.3
2018-11-02,30,22,0.015,0.049,0.3,0.005,13.3,,1.2,110,53.4
2018-11-03,27,21,0.018,0.049,0.3,0.006,13.9,,1.2,90,51.6
2018-11-04,33,28,0.024,0.046,0.2,0.007,15.3,,2.4,340,47.6
2018-11-05,35,29,0.02,0.053,0.3,0.008,15.1,,1.9,90,64.6
2018-11-06,29,22,0.02,0.039,0.3,0.003,16.4,,2.2,50,68.6
2018-11-07,29,19,0.02,0.039,0.4,0.004,16.9,,2.4,50,69.5
2018-11-08,21,17,0.023,0.03,0.4,0.007,16.8,101.2,4.7,50,91.3
2018-11-09,22,15,0.028,0.021,0.4,0.004,14.3,,4.5,270,63.6
2018-11-10,44,29,0.023,0.04,0.5,0.01,14.2,,2.8,200,56.4
2018-11-11,43,32,0.025,0.037,0.5,0.008,14.4,1,1.2,200,66.4
2018-11-12,40,30,0.019,0.036,0.5,0.004,12.6,2.8,2.1,50,77.3
2018-11-13,17,10,0.02,0.031,0.4,0.004,12.8,0,3.1,50,71.6
2018-11-14,14,9,0.016,0.034,0.4,0.005,12.7,,2.5,50,68
2018-11-15,18,14,0.013,0.041,0.4,0.007,13.3,,1.6,50,65.6
2018-11-16,27,20,0.012,0.042,0.5,0.004,12.7,0,1.6,340,71
2018-11-17,49,45,0.026,0.036,0.5,0.005,12.4,,1.9,340,57.1
2018-11-18,23,21,0.026,0.022,0.4,0.003,10.3,,3.5,340,39.5
2018-11-19,38,28,0.02,0.034,0.5,0.005,11.1,,2.5,340,40.1
2018-11-20,39,26,0.022,0.038,0.4,0.007,10.2,,3,290,42.3
2018-11-21,59,38,0.004,0.06,0.6,0.008,10.9,,1.6,340,39.9
2018-11-22,31,16,0.025,0.026,0.3,0.003,7.5,,3.1,360,35
2018-11-23,23,14,0.021,0.031,0.4,0.003,6.1,,2.1,360,33.8
2018-11-24,38,30,0.005,0.05,0.5,0.005,7.7,2.3,1.4,270,67.3
2018-11-25,41,38,0.021,0.031,0.5,0.003,9.7,,1.8,340,67.6
2018-11-26,44,35,0.012,0.049,0.5,0.007,11.1,,1.8,340,61.1
2018-11-27,56,44,0.012,0.058,0.6,0.007,14,,2.3,270,53.1
2018-11-28,106,42,0.012,0.049,0.5,0.006,11.6,,1.7,50,52.1
2018-11-29,84,31,0.007,0.049,0.5,0.008,10.4,,0.9,180,41.1
2018-11-30,127,51,0.012,0.051,0.6,0.008,11.4,,1.8,250,46.8
2018-12-01,68,30,0.019,0.035,0.4,0.004,10.4,,2.1,50,49.9
2018-12-02,39,18,0.024,0.028,0.4,0.006,14.1,0,2.1,50,69
2018-12-03,31,24,0.008,0.041,0.5,0.008,16.8,17.2,2.7,50,94.3
2018-12-04,31,23,0.014,0.036,0.5,0.005,14.6,27.9,2,20,78.1
2018-12-05,41,17,0.019,0.029,0.4,0.003,9.7,,2.6,340,49.1
2018-12-06,25,16,0.017,0.025,0.3,0.003,7.3,3.1,3.1,340,72.3
2018-12-07,19,12,0.028,0.015,0.3,0.002,0.5,,2.8,360,39.5
2018-12-08,18,10,0.026,0.013,0.3,0.002,-1.9,,2.3,360,39.5
2018-12-09,12,8,0.027,0.013,0.3,0.002,-0.5,,3.3,290,29.3
2018-12-10,21,14,0.012,0.037,0.4,0.003,4,,2,20,36.5
2018-12-11,21,15,0.009,0.035,0.4,0.003,5.8,2.8,3.5,50,83.3
2018-12-12,31,24,0.025,0.022,0.4,0.003,2.9,,3.6,340,46.5
2018-12-13,27,20,0.028,0.02,0.4,0.003,3.2,,3.6,270,44.9
2018-12-14,23,16,0.023,0.024,0.3,0.003,1.2,,4.3,340,35.5
2018-12-15,23,16,0.014,0.036,0.4,0.004,4,,1.8,340,36.6
2018-12-16,27,21,0.008,0.039,0.5,0.004,4.7,4.4,2.4,270,66.9
2018-12-17,49,37,0.024,0.03,0.4,0.004,5.9,,3.7,290,51.8
2018-12-18,37,22,0.013,0.04,0.4,0.004,5.6,,2.2,290,50.4
2018-12-19,68,47,0.029,0.038,0.6,0.009,9.6,,4.7,270,55.4
2018-12-20,108,81,0.004,0.07,0.8,0.008,10.3,,1.8,50,59.8
2018-12-21,66,44,0.007,0.059,0.6,0.006,11.9,,1.6,50,71
2018-12-22,45,36,0.018,0.042,0.5,0.006,12.5,0,1.6,50,62.1
2018-12-23,34,26,0.035,0.019,0.4,0.004,8.8,3.6,2.3,360,52.6
2018-12-24,18,10,0.027,0.022,0.3,0.003,3.9,,4,340,25.6
2018-12-25,17,12,0.02,0.026,0.3,0.004,5,,3.2,340,27.8
2018-12-26,39,28,0.022,0.031,0.4,0.004,6.9,0,2.8,360,39.3
2018-12-27,16,7,0.031,0.015,0.3,0.002,0.5,,3.2,340,17
2018-12-28,21,10,0.026,0.016,0.3,0.002,-3.5,,4.1,360,27.4
2018-12-29,24,7,0.03,0.013,0.3,0.002,-2.2,,4.6,360,26.3
2018-12-30,14,9,0.028,0.015,0.3,0.003,-0.7,,3.5,340,30.4
2018-12-31,19,12,0.018,0.032,0.4,0.003,3.9,0,2.4,340,36.5
2019-01-01,24,19,0.029,0.013,0.3,0.003,1,,4.2,290,41.9
2019-01-02,19,13,0.027,0.02,0.3,0.003,1.2,,3.2,360,34.6
2019-01-03,22,14,0.02,0.03,0.3,0.004,3,,3.5,320,22
2019-01-04,29,20,0.011,0.042,0.4,0.007,5,,3.1,340,22.3
2019-01-05,56,51,0.034,0.024,0.5,0.004,5.5,,2.9,360,31.8
2019-01-06,33,28,0.028,0.023,0.4,0.003,4.4,,2.1,340,30.5
2019-01-07,35,28,0.025,0.03,0.4,0.005,4.4,,3.5,320,22.8
2019-01-08,50,43,0.028,0.025,0.5,0.005,3.2,,3,340,35.5
